iter	Accuracy	Logloss
0	0.8070552147	0.6618691865
1	0.8197852761	0.6304506059
2	0.823006135	0.604346419
3	0.8234662577	0.5813390602
4	0.8245398773	0.5600144268
5	0.8282208589	0.5408662288
6	0.827607362	0.5265896714
7	0.827607362	0.5127766038
8	0.827607362	0.4993886437
9	0.8279141104	0.4889283767
10	0.827607362	0.4776153397
11	0.8286809816	0.4685736416
12	0.8300613497	0.4599758369
13	0.8300613497	0.4522772504
14	0.8302147239	0.4466425211
15	0.8303680982	0.4402148228
16	0.8303680982	0.4353829672
17	0.8323619632	0.4299012253
18	0.8320552147	0.4255561547
19	0.8320552147	0.4226494669
20	0.8320552147	0.4212664115
21	0.8320552147	0.4177704193
22	0.8323619632	0.4149736756
23	0.8328220859	0.4122335384
24	0.8334355828	0.409492042
25	0.8335889571	0.4072060714
26	0.8335889571	0.4051529709
27	0.8352760736	0.4038936089
28	0.8348159509	0.401369184
29	0.8345092025	0.3997784781
30	0.8349693252	0.3973188469
31	0.8352760736	0.3959152626
32	0.8348159509	0.3938738811
33	0.8348159509	0.3924492704
34	0.8345092025	0.3905603568
35	0.8346625767	0.3893521172
36	0.8349693252	0.3888603655
37	0.8345092025	0.3873363225
38	0.8345092025	0.3858974899
39	0.8349693252	0.3848518945
40	0.8348159509	0.3847167855
41	0.8354294479	0.3837472266
42	0.8348159509	0.3830972677
43	0.8355828221	0.3820880149
44	0.8351226994	0.3809825179
45	0.8352760736	0.3799882989
46	0.8352760736	0.3787009394
47	0.8352760736	0.3785036754
48	0.8357361963	0.37771077
49	0.8358895706	0.3767911087
50	0.8352760736	0.3752863546
51	0.8348159509	0.3740661836
52	0.8349693252	0.3733044303
53	0.8351226994	0.3732521021
54	0.836196319	0.3725168728
55	0.836809816	0.3720316534
56	0.8372699387	0.3714574737
57	0.8378834356	0.3707010081
58	0.8371165644	0.3697934804
59	0.8374233129	0.3690400438
60	0.8372699387	0.3686051286
61	0.8374233129	0.3677640116
62	0.8383435583	0.3671301223
63	0.8386503067	0.366380398
64	0.8389570552	0.3657999735
65	0.8389570552	0.3651765097
66	0.838803681	0.3646793751
67	0.8389570552	0.3644162343
68	0.8394171779	0.3642836392
69	0.8395705521	0.3637995449
70	0.8394171779	0.3633481731
71	0.8395705521	0.3630903926
72	0.8397239264	0.3624962632
73	0.8398773006	0.3619393104
74	0.8401840491	0.3613857213
75	0.840797546	0.3610824851
76	0.8404907975	0.3609518239
77	0.8406441718	0.3608568628
78	0.8411042945	0.3603849049
79	0.8409509202	0.3599092646
80	0.8411042945	0.3592780983
81	0.8409509202	0.3589584074
82	0.8411042945	0.3582650633
83	0.8411042945	0.3579349233
84	0.840797546	0.3572356349
85	0.8406441718	0.3571445006
86	0.8406441718	0.3568076845
87	0.8409509202	0.3565166224
88	0.8411042945	0.3562291474
89	0.8417177914	0.3557856066
90	0.8417177914	0.3557634443
91	0.8423312883	0.3555009882
92	0.842791411	0.3550936057
93	0.8432515337	0.354670162
94	0.843404908	0.3540543289
95	0.8432515337	0.3537648139
96	0.8429447853	0.3534760125
97	0.8435582822	0.3529184745
98	0.8447852761	0.3525393134
99	0.8447852761	0.3524575122
100	0.8446319018	0.3520150052
101	0.8450920245	0.351699413
102	0.8449386503	0.3513280254
103	0.8447852761	0.3507107498
104	0.8452453988	0.3505090268
105	0.8452453988	0.3499231405
106	0.8457055215	0.3494172408
107	0.8458588957	0.3488921275
108	0.8460122699	0.3484182766
109	0.8458588957	0.347903678
110	0.8458588957	0.3477243748
111	0.8460122699	0.3474839376
112	0.8461656442	0.3471118678
113	0.8466257669	0.346840064
114	0.8466257669	0.3465526137
115	0.8469325153	0.3459849846
116	0.8470858896	0.3455027184
117	0.847392638	0.3453960914
118	0.847392638	0.3447958161
119	0.8475460123	0.3444387797
120	0.8476993865	0.3439911448
121	0.8478527607	0.3437139857
122	0.8475460123	0.3433575858
123	0.8475460123	0.3430774494
124	0.847392638	0.3427751432
125	0.8478527607	0.3424228598
126	0.8475460123	0.3419912345
127	0.8478527607	0.3416833951
128	0.848006135	0.3414354905
129	0.8478527607	0.3414049502
130	0.8481595092	0.3412885003
131	0.8486196319	0.3406531423
132	0.8487730061	0.3402061947
133	0.8486196319	0.3399615244
134	0.8490797546	0.3395735952
135	0.8487730061	0.3389859662
136	0.8486196319	0.3388498278
137	0.8490797546	0.3384696799
138	0.8495398773	0.3380434006
139	0.8495398773	0.3379622084
140	0.8495398773	0.3373862544
141	0.8503067485	0.3370628383
142	0.8504601227	0.3368743473
143	0.8501533742	0.3365017134
144	0.85	0.336126868
145	0.85	0.335824032
146	0.8510736196	0.3353926855
147	0.8510736196	0.335173809
148	0.8516871166	0.3348600138
149	0.851993865	0.3344718858
150	0.851993865	0.3343504603
151	0.8521472393	0.3341536241
152	0.851993865	0.333860276
153	0.8521472393	0.3332300855
154	0.8518404908	0.3329860153
155	0.8518404908	0.3326523949
156	0.8521472393	0.3324157346
157	0.851993865	0.3321066362
158	0.8521472393	0.3318686498
159	0.851993865	0.3318683683
160	0.8524539877	0.3316330646
161	0.8533742331	0.3312117084
162	0.8538343558	0.3307754027
163	0.8538343558	0.3305039009
164	0.8539877301	0.3301156863
165	0.854601227	0.3297293224
166	0.8542944785	0.3294498956
167	0.8542944785	0.3292253794
168	0.854601227	0.3289162001
